label,clean_text,URL,EMAIL,PHONE,msg_len
0,hi spoke deepak like know satisfied experience reply toll free yes,0,0,0,122
0,yay wait party together,0,0,0,33
0,time coming,0,0,0,28
1,dear customer pay tmkyc expired bl cked within hour please contact customer care ph immediately verify,0,0,1,150
0,yo around friend mine lookin pick later tonight,0,0,0,65
1,heard call rude chat private line cum wan pics gettin shagged text pix,0,0,1,132
0,call,0,0,0,22
0,anytime,0,0,0,10
0,wait till end march el nino gets oh,0,0,0,58
1,get garden ready summer free selection summer bulbs seeds worth stop go notxt co uk,0,0,0,124
0,got video tape pple type message lor free wan help hee cos noe wan watch infernal affairs ask along asking shuhui oso,0,0,0,153
0,make cry stuff happens top everything else pushes edge underdtand often cry sorry sorry life,0,0,0,191
0,login dat time dad fetching home,0,0,0,49
1,new local dates area lots new people registered area reply date start replys,0,0,0,143
0,oga left phone home saw ur messages hope good great weekend,0,0,0,110
1,todays vodafone numbers ending selected receive rs award match please call quoting claim code standard rates apply,0,0,1,168
0,hm good morning headache anyone,0,0,0,37
0,know people hit hit yes,0,0,0,51
1,get rid cockroach termite bedbug rats pest best deals pestcontrolservices chemical herbal odorless dial ask,0,0,0,143
0,prof passed papers sem congrats student enna kalaachutaarama prof gud mrng,0,0,0,122
0,ay wana meet sat wkg sat,0,0,0,33
0,ok prob come lunch,0,0,0,43
0,calls messages missed calls,0,0,0,37
0,received understood acted upon,0,0,0,34
0,going,0,0,0,24
0,jus came back fr lunch wif sis leh,0,0,0,46
0,want inside every night,0,0,0,38
0,work week,0,0,0,27
1,dear sir bank card blocked updated yet want update atm card please contact,0,0,1,152
0,ugh gotta drive back sd la butt sore,0,0,0,53
0,pass dis ur contacts see wat get red luv wid blue put smile face purple realy hot pink swt orange thnk lyk green realy wana go wid yelow wnt bck black jealous brown miss nw plz giv one color,0,0,0,276
0,gal boy walking park gal hold ur hand boy think would run away gal jst wana feels walking heaven prince gn,0,0,0,160
1,double mins double txt price linerental latest orange bluetooth mobiles call mobileupd latest offers call optout lf,0,0,1,159
0,mode men left,0,0,0,26
0,goin workout lor muz lose fats,0,0,0,41
0,painful words thought happy toughest thing earth toughest acting happy unspoken pain inside,0,0,0,144
1,outbid simonwatson shinco dvd plyr bid visit sms ac smsrewards end bid notifications reply end,0,0,0,133
0,hurting meaningful lines ever compromised everything love end love compromised everything gud mornin,0,0,0,147
0,yes pretty lady like single,0,0,0,42
0,finished work yet something,0,0,0,44
1,contacted dating service someone know find call mobile landline pobox ldns,0,0,1,149
0,thats cool cum,0,0,0,52
0,okay well thanks clarification,0,0,0,52
0,dropped em omw back,0,0,0,33
0,yup finished,0,0,0,30
0,tired arguing week week want,0,0,0,109
0,alright bring see like lt gt mins,0,0,0,63
0,hey booked kb sat already lessons going ah keep sat night free need meet confirm lodging,0,0,0,142
1,urgent nd attempt contact prize yesterday still awaiting collection claim call acl pm,0,0,1,150
1,hot live fantasies call per min ntt ltd po box croydon cr wb national rate call,0,0,1,122
0,murderer coz man murdered th january public holiday,0,0,0,84
0,mean confirmed tot juz say oni ok,0,0,0,61
0,dude knw also telugu thts gud gud nyt,0,0,0,46
1,xmas iscoming ur awarded either cd gift vouchers free entry weekly draw txt music tnc,0,0,0,154
1,free message thanks using auction subscription service msgrcvd skip auction txt unsubscribe txt stop customercare,0,0,1,160
0,dont let studying stress,0,0,0,38
1,sunshine quiz wkly win top sony dvd player know country liverpool played mid week txt ansr sp tyrone,0,0,0,136
0,head mins see,0,0,0,44
1,want anytime network mins text new video phone five pounds per week call reply delivery tomorrow,0,0,1,153
0,channel,0,0,0,25
0,oh yeah diet flew window,0,0,0,45
0,intrepid duo great time see soon,0,0,0,62
0,fyi usf swing room whenever,0,0,0,46
0,wet right,0,0,0,22
0,romantic,0,0,0,26
1,win cash prize prize worth,0,0,0,45
0,ducking chinchillas,0,0,0,25
0,remains bro amongst bros,0,0,0,29
0,yes nigh cant aha,0,0,0,23
0,ok smart work,0,0,0,15
0,bruce amp fowler mom car park long story,0,0,0,82
0,plan,0,0,0,29
0,telling coulda real valentine never pick nothing,0,0,0,96
1,want new video handset time network mins unlimited text camcorder reply call del sat,0,0,1,136
0,know raping dudes poker,0,0,0,42
1,call freephone,0,0,0,34
0,jus chillaxin,0,0,0,22
0,hope things went well doctors reminds still need go little thing left lounge,0,0,0,110
0,give back thanks,0,0,0,23
0,dear shall mail tonite busy street shall update tonite things looking ok varunnathu edukkukayee raksha ollu good one real sense,0,0,0,152
0,feel mr real valentine yo valentine even tho hardly play,0,0,0,91
0,lol could starve lose pound end day,0,0,0,66
1,mila age blonde new uk look sex uk guys like fun text mtalk call,0,0,1,119
0,like jerk,0,0,0,35
0,serious like proper tongued,0,0,0,37
0,hen night going swing,0,0,0,32
1,free st week entry textpod chance win gb ipod cash every wk txt pod ts cs,0,0,0,118
0,super da good replacement murali,0,0,0,37
0,hi hope get txt journey hasnt gd mins late think,0,0,0,76
0,hi love goes day morning woke dropped cell way stairs seems alright phews miss,0,0,0,144
0,know mood today,0,0,0,25
0,actually deleted old website blogging magicalsongs blogspot com,0,1,0,80
1,spook mob halloween collection logo pic message plus free eerie tone txt card spook zed per logo pic,0,0,0,150
0,wana see,0,0,0,23
1,urgent message cibc account holder kindly login confirm login information login secure server check information support,1,0,0,211
0,food,0,0,0,25
0,let math good,0,0,0,43
0,kallis home ground amla home town durban,0,0,0,60
0,missionary hook doggy hook standing,0,0,0,53
0,hey babe far spun spk da mo dead da wrld sleeping da sofa day cool nytho tx fonin hon call mwen im bk frmcloud,0,0,0,159
0,docs appointments next week tired shoving stuff ugh normal body,0,0,0,121
0,sent scores sophas secondary application schools think thinking applying research cost also contact joke ogunrinde school one less expensive ones,0,0,0,221
0,happy new year dear brother really miss got number decided send text wishing happiness abiola,0,0,0,143
1,todays vodafone numbers ending last four digits selected received award number matches please call claim award,0,0,1,172
0,hi hun im comin nite tell every im sorry hope ava goodtime oli rang melnite ifink mite sorted il explain everythin mon rs,0,0,0,152
0,audrie lousy autocorrect,0,0,0,24
0,hope alright babe worry might felt bit desparate learned job fake waiting come back love,0,0,0,158
0,something ate,0,0,0,23
0,love hope anything drastic dare sell pc phone,0,0,0,97
0,time thinkin goin,0,0,0,30
0,want finally lunch today,0,0,0,33
1,identified unusual activity online banking please log via secure link http owly npyl kywg avoid account suspension,0,0,0,148
0,thanx birthday already,0,0,0,38
0,hair cream shipped,0,0,0,36
0,hanging brother family,0,0,0,42
0,garage keys bookshelf,0,0,0,55
0,today sunday holiday work,0,0,0,44
0,ok part tomorrow,0,0,0,32
0,yes finished watching days lives love,0,0,0,56
0,cool lt gt inches long hope like big,0,0,0,59
0,borderline yeah whatever,0,0,0,35
0,needs stop going bed make dealing,0,0,0,56
0,always saying welp,0,0,0,33
0,kind took garage centre part exhaust needs replacing part ordered taking fixed tomo morning,0,0,0,118
0,yeah impression got,0,0,0,32
1,subscribed best mobile content service uk per days send stop helpline,0,0,1,132
0,wen ur free come home also tel vikky hav sent mail also better come evening il free today aftr pm,0,0,0,130
1,sale arsenal dartboard good condition doubles trebles,0,0,0,71
0,yes outside like hours called whole family wake cause started,0,0,0,107
0,test earlier appreciate call tomorrow,0,0,0,68
0,reach home safe sound liao,0,0,0,33
1,promotion number ur awarded city break could win summer shopping spree every wk txt store skilgme tscs winawk age perwksub,0,0,0,178
0,watching tv lor funny bluff wat izzit thk impossible us,0,0,0,103
1,dear daf ne customer winner guaranteed caller prize final attempt contact claim call,0,0,1,149
0,sorry joined league people dont keep touch mean great deal friend times even great personal cost great week,0,0,0,185
0,movie call wat,0,0,0,30
